dataset,model,features,samples,train_acc,test_acc,overfitting,model_file,data_file
high_dim_50,vulnerable_mlp,50,500,1.0,0.8466666666666667,0.15333333333333332,vulnerable_models/high_dim_50_vulnerable_mlp_model.joblib,vulnerable_models/high_dim_50_test_data.csv
high_dim_50,overfit_mlp,50,500,1.0,0.82,0.18000000000000005,vulnerable_models/high_dim_50_overfit_mlp_model.joblib,vulnerable_models/high_dim_50_test_data.csv
high_dim_50,vulnerable_svm,50,500,0.8,0.7866666666666666,0.01333333333333342,vulnerable_models/high_dim_50_vulnerable_svm_model.joblib,vulnerable_models/high_dim_50_test_data.csv
high_dim_50,vulnerable_logistic,50,500,0.8542857142857143,0.78,0.07428571428571429,vulnerable_models/high_dim_50_vulnerable_logistic_model.joblib,vulnerable_models/high_dim_50_test_data.csv
high_dim_100,vulnerable_mlp,100,800,1.0,0.9166666666666666,0.08333333333333337,vulnerable_models/high_dim_100_vulnerable_mlp_model.joblib,vulnerable_models/high_dim_100_test_data.csv
high_dim_100,overfit_mlp,100,800,1.0,0.8708333333333333,0.12916666666666665,vulnerable_models/high_dim_100_overfit_mlp_model.joblib,vulnerable_models/high_dim_100_test_data.csv
high_dim_100,vulnerable_svm,100,800,0.7553571428571428,0.6916666666666667,0.06369047619047619,vulnerable_models/high_dim_100_vulnerable_svm_model.joblib,vulnerable_models/high_dim_100_test_data.csv
high_dim_100,vulnerable_logistic,100,800,0.8982142857142857,0.9125,-0.014285714285714235,vulnerable_models/high_dim_100_vulnerable_logistic_model.joblib,vulnerable_models/high_dim_100_test_data.csv
high_dim_200,vulnerable_mlp,200,1000,1.0,0.8766666666666667,0.1233333333333333,vulnerable_models/high_dim_200_vulnerable_mlp_model.joblib,vulnerable_models/high_dim_200_test_data.csv
high_dim_200,overfit_mlp,200,1000,1.0,0.9066666666666666,0.09333333333333338,vulnerable_models/high_dim_200_overfit_mlp_model.joblib,vulnerable_models/high_dim_200_test_data.csv
high_dim_200,vulnerable_svm,200,1000,0.5114285714285715,0.48333333333333334,0.028095238095238118,vulnerable_models/high_dim_200_vulnerable_svm_model.joblib,vulnerable_models/high_dim_200_test_data.csv
high_dim_200,vulnerable_logistic,200,1000,0.9542857142857143,0.91,0.04428571428571426,vulnerable_models/high_dim_200_vulnerable_logistic_model.joblib,vulnerable_models/high_dim_200_test_data.csv
extreme_dim_500,vulnerable_mlp,500,600,1.0,0.6444444444444445,0.3555555555555555,vulnerable_models/extreme_dim_500_vulnerable_mlp_model.joblib,vulnerable_models/extreme_dim_500_test_data.csv
extreme_dim_500,overfit_mlp,500,600,1.0,0.6666666666666666,0.33333333333333337,vulnerable_models/extreme_dim_500_overfit_mlp_model.joblib,vulnerable_models/extreme_dim_500_test_data.csv
extreme_dim_500,vulnerable_svm,500,600,0.5166666666666667,0.4777777777777778,0.03888888888888892,vulnerable_models/extreme_dim_500_vulnerable_svm_model.joblib,vulnerable_models/extreme_dim_500_test_data.csv
extreme_dim_500,vulnerable_logistic,500,600,0.9833333333333333,0.7055555555555556,0.2777777777777777,vulnerable_models/extreme_dim_500_vulnerable_logistic_model.joblib,vulnerable_models/extreme_dim_500_test_data.csv
